IdOrdine;IdCorriere;DataOrdine;DataConsegna;CodStatoFattura;CodProvinciaFattura;ComuneFatturazione;TotaleImponibileFattura;TotaleConIva;IdCliente;Sesso;Quantita;IdMagazzino;PrezzoVendita;PrezzoPieno;PrezzoScontato;Sconto;Outlet;IdTaglia2;NomeDes;LinguaCollezione;LinguaColore;NomeSes;PagamentoOrdine;IdGruppoTaglie;NomeCat;NomeMac
11;1;007/09/2010;09/09/2010;IT;TV;PONZANO VENETO;160;192;1105;3;-1;17271;89;89;89;0;0;30;FRECCE TRICOLORI;Primavera - Estate 2011;Celeste;Uomo;PayPal;24;Orologi;Gioielli Moda
11;1;07/09/2010;09/09/2010;IT;TV;PONZANO VENETO;160;192;1105;3;-1;5186;124;124;62;50;1;5;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu medio;Uomo;PayPal;2;Maglieria;Abbigliamento
15;1;07/09/2010;10/09/2010;IT;BG;CISERANO;80,83;97;1371;4;-1;2878;97;97;49;50;1;6;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu;Uomo;Contrassegno;2;Maglieria;Abbigliamento
16;1;07/09/2010;09/09/2010;IT;RM;ROMA;186,67;224;1230;3;-1;5187;124;124;62;50;1;6;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu medio;Uomo;PayPal;2;Maglieria;Abbigliamento
16;1;07/09/2010;09/09/2010;IT;RM;ROMA;186,67;224;1230;3;-1;5159;124;124;62;50;1;3;AERONAUTICA MILITARE;Autunno - Inverno 2011;Bianco;Uomo;PayPal;2;Maglieria;Abbigliamento
46;1;10/09/2010;13/09/2010;IT;TA;GINOSA;460,83;553;523;4;-1;4962;120;120;60;50;1;4;FIX DESIGN;Autunno - Inverno 2011;Bianco;Donna;Carta di Credito;3;Maglieria;Abbigliamento
46;1;10/09/2010;13/09/2010;IT;TA;GINOSA;460,83;553;523;4;-1;2754;325;650;325;50;0;30;FAY;Autunno - Inverno 2011;Verde muschio;Donna;Carta di Credito;44;Shopper;Borse
46;1;10/09/2010;13/09/2010;IT;TA;GINOSA;460,83;553;523;4;-1;3065;65;130;65;50;1;5;FIX DESIGN;Autunno - Inverno 2011;Bluette;Donna;Carta di Credito;3;Maglieria;Abbigliamento
46;1;10/09/2010;13/09/2010;IT;TA;GINOSA;460,83;553;523;4;-1;3062;43;85;43;50;1;3;FIX DESIGN;Autunno - Inverno 2011;Panna;Donna;Carta di Credito;3;Maglieria;Abbigliamento
48;1;12/09/2010;14/09/2010;IT;TA;MASSAFRA;95;114;1290;3;-1;5193;114;130;65;50;1;103;DIADORA;Autunno - Inverno 2011;Blu scuro;Uomo;Contrassegno;10;Sneakers;Calzature
50;1;14/09/2010;16/09/2010;IT;LE;LECCE;229,17;275;1439;3;-1;2755;275;550;275;50;0;30;FAY;Autunno - Inverno 2011;Verde acido;Donna;Carta di Credito;44;Shopper;Borse
51;1;15/09/2010;17/09/2010;IT;TO;SUSA;178,33;214;1366;3;-1;5608;214;214;107;50;1;28;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu medio;Uomo;PayPal;2;Capispalla;Abbigliamento
67;1;16/09/2010;20/09/2010;IT;TA;CASTELLANETA;162,5;195;1442;4;-1;2668;195;390;195;50;0;30;HOGAN;Autunno - Inverno 2011;Testa di moro;Donna;Contrassegno;44;Shopper;Borse
68;1;16/09/2010;20/09/2010;IT;PT;PISTOIA;237,5;285;110;3;-1;3675;285;285;143;50;1;104;SANTONI;Autunno - Inverno 2011;Beige;Uomo;Contrassegno;10;Polacco;Calzature
72;1;16/09/2010;20/09/2010;IT;VC;VERCELLI;21,67;26;1444;3;-1;5203;26;26;26;0;0;30;FRECCE TRICOLORI;Autunno - Inverno 2011;Azzurro;Uomo;Carta di Credito;42;Cappelli;Accessori
79;1;20/09/2010;22/09/2010;IT;ME;MALVAGNA;158,33;190;1288;3;-1;5576;190;190;95;50;1;3;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu notte;Uomo;Carta di Credito;2;Maglieria;Abbigliamento
82;1;21/09/2010;28/09/2010;LU;Lu;P«∏tange;128,33;154;1478;3;-1;2851;154;154;77;50;1;3;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu;Uomo;PayPal;2;Maglieria;Abbigliamento
88;1;23/09/2010;28/09/2010;IT;AV;AVELLA;162,5;195;898;4;-1;2671;195;390;195;50;0;30;HOGAN;Autunno - Inverno 2011;Testa di moro;Donna;Carta di Credito;44;Shopper;Borse
89;1;23/09/2010;28/09/2010;IT;Cs;COSENZA;120,83;145;1488;4;-1;3886;145;290;145;50;1;615;FAY;Autunno - Inverno 2011;Blu scuro;Kids Girl;Carta di Credito;16;Capispalla;Abbigliamento
90;1;24/09/2010;28/09/2010;IT;NO;TRECATE;79,17;95;1490;4;-1;5113;95;95;48;50;1;617;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu medio;Kids Boy;Contrassegno;16;Maglieria;Abbigliamento
94;1;24/09/2010;28/09/2010;IT;MI;SEREGNO;132,5;159;1452;3;-1;5562;159;159;80;50;1;4;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu medio;Uomo;PayPal;2;Maglieria;Abbigliamento
102;1;24/09/2010;04/10/2010;DE;Ob;Oberf«Ùhring;350;420;1492;3;-1;2501;420;840;420;50;1;67;AERONAUTICA MILITARE;Autunno - Inverno 2011;Testa di moro;Donna;Carta di Credito;3;Capispalla;Abbigliamento
105;1;24/09/2010;04/10/2010;IT;BR;FRANCAVILLA FONTANA;104,17;125;801;3;-1;2538;125;250;125;50;1;30;DUVETICA;Autunno - Inverno 2011;Viola Scuro;Uomo;Contrassegno;2;Capispalla;Abbigliamento
106;1;25/09/2010;04/10/2010;IT;FG;CERIGNOLA;60,83;73;1508;3;-1;4862;73;145;73;50;1;3;ETRO;Autunno - Inverno 2011;Multicolor;Uomo;Contrassegno;2;Maglieria;Abbigliamento
107;1;26/09/2010;04/10/2010;IT;SS;SASSARI;245,83;295;1510;3;-1;6033;295;295;148;50;1;105;SANTONI;Autunno - Inverno 2011;Nero;Uomo;Contrassegno;10;Sneakers;Calzature
117;1;28/09/2010;04/10/2010;IT;CS;CASTROLIBERO;65;78;233;4;-1;4713;78;155;78;50;1;72;JECKERSON;Autunno - Inverno 2011;Viola Scuro;Donna;PayPal;3;Gonne;Abbigliamento
118;1;28/09/2010;04/10/2010;AF;NA;NAPOLI;312,5;375;1518;3;-1;4943;375;375;188;50;1;30;ETRO;Autunno - Inverno 2011;Etro cashmere-Camel;Donna;PayPal;45;Shopper;Borse
119;1;28/09/2010;08/10/2010;BE;Br;bruxelles;175;210;1522;3;-1;4915;210;420;210;50;1;619;AERONAUTICA MILITARE;Autunno - Inverno 2011;Testa di moro;Kids Boy;Carta di Credito;16;Capispalla;Abbigliamento
121;1;28/09/2010;04/10/2010;LU;Lu;Luxembourg;103,33;124;1528;3;-1;5173;124;124;62;50;1;7;AERONAUTICA MILITARE;Autunno - Inverno 2011;Grigio;Uomo;PayPal;2;Maglieria;Abbigliamento
125;1;29/09/2010;04/10/2010;IT;tr;trieste;248,33;298;1531;3;-1;6417;298;298;149;50;1;67;ROY ROGERS;Autunno - Inverno 2011;Blu;Donna;Carta di Credito;3;Maglieria;Abbigliamento
131;1;30/09/2010;04/10/2010;IT;PT;AGLIANA;229,17;275;1527;4;-1;2756;275;550;275;50;0;30;FAY;Autunno - Inverno 2011;Nero;Donna;Bonifico Bancario;44;Shopper;Borse
148;1;03/10/2010;08/10/2010;IT;NA;NAPOLI;110,83;133;1102;3;-1;3890;133;266;133;50;1;613;BREMA JUNIOR;Autunno - Inverno 2011;Lilla;Kids Girl;Carta di Credito;16;Capispalla;Abbigliamento
151;1;05/10/2010;14/10/2010;IT;VI;NOVENTA VICENTINA;78,33;94;1564;3;-1;2882;94;94;47;50;1;6;AERONAUTICA MILITARE;Autunno - Inverno 2011;Bluette;Uomo;Carta di Credito;2;Maglieria;Abbigliamento
152;1;07/10/2010;24/10/2010;IT;MI;TRUCCAZZANO;279,17;335;1576;4;-1;4025;110;110;55;50;1;4;SUN 68;Autunno - Inverno 2011;Nero;Donna;Carta di Credito;3;Maglieria;Abbigliamento
152;1;07/10/2010;24/10/2010;IT;MI;TRUCCAZZANO;279,17;335;1576;4;-1;4021;110;110;55;50;1;4;SUN 68;Autunno - Inverno 2011;Panna;Donna;Carta di Credito;3;Maglieria;Abbigliamento
152;1;07/10/2010;24/10/2010;IT;MI;TRUCCAZZANO;279,17;335;1576;4;-1;3949;115;115;58;50;1;4;SUN 68;Autunno - Inverno 2011;Grigio;Donna;Carta di Credito;3;Maglieria;Abbigliamento
158;1;07/10/2010;14/10/2010;IT;FG;SAN GIOVANNI ROTONDO;129,17;155;648;3;-1;5830;80;160;80;50;0;259;ETRO;Autunno - Inverno 2011;Testa di moro;Uomo;Carta di Credito;24;Cinture;Accessori
158;1;07/10/2010;14/10/2010;IT;FG;SAN GIOVANNI ROTONDO;129,17;155;648;3;-1;5089;75;150;75;50;1;434;ROY ROGERS;Autunno - Inverno 2011;Denim;Uomo;Carta di Credito;2;Jeans;Abbigliamento
163;1;10/10/2010;16/10/2010;IT;ca;catania;187,5;225;1583;4;-1;2670;225;450;225;50;0;30;HOGAN;Autunno - Inverno 2011;Nero;Donna;Contrassegno;44;Shopper;Borse
164;1;11/10/2010;16/10/2010;IT;PO;PRATO;225;270;1582;3;-1;3631;270;270;135;50;1;104;HOGAN;Autunno - Inverno 2011;Nero;Uomo;Contrassegno;10;Sneakers;Calzature
166;1;13/10/2010;20/10/2010;IT;EN;PIAZZA ARMERINA;216,67;260;1610;3;-1;2694;260;260;130;50;1;103;TOD'S;Autunno - Inverno 2011;Marrone;Uomo;Contrassegno;10;Polacco;Calzature
167;1;13/10/2010;16/10/2010;IT;FG;SAN GIOVANNI ROTONDO;308,33;370;648;3;-1;7600;297;495;248;50;1;6;BURBERRY;Autunno - Inverno 2011;Nero;Donna;PayPal;3;Capispalla;Abbigliamento
167;1;13/10/2010;16/10/2010;IT;FG;SAN GIOVANNI ROTONDO;308,33;370;648;3;-1;4863;73;145;73;50;1;4;ETRO;Autunno - Inverno 2011;Multicolor;Uomo;PayPal;2;Maglieria;Abbigliamento
170;1;14/10/2010;20/10/2010;IT;TN;ARCO;95,83;115;1615;4;-1;7451;115;115;58;50;1;3;FIX DESIGN;Autunno - Inverno 2011;Grigio;Donna;Carta di Credito;3;Maglieria;Abbigliamento
171;1;15/10/2010;20/10/2010;IT;SS;VIDDALBA;116,67;140;1624;4;-1;6400;160;160;80;50;1;623;HOGAN;Autunno - Inverno 2011;Nero;Junior Girl;PayPal;18;Sneakers;Calzature
173;1;15/10/2010;20/10/2010;IT;CS;CORIGLIANO CALABRO;79,17;95;1616;4;-1;3984;115;115;58;50;1;3;SUN 68;Autunno - Inverno 2011;Grigio medio;Donna;PayPal;3;Maglieria;Abbigliamento
175;1;15/10/2010;20/10/2010;IT;CS;CORIGLIANO CALABRO;36,67;44;1616;4;-1;3055;44;87;44;50;1;3;FIX DESIGN;Autunno - Inverno 2011;Nero;Donna;Contrassegno;3;Maglieria;Abbigliamento
177;1;17/10/2010;20/10/2010;IT;PA;CACCAMO;247,5;297;1642;4;-1;7612;297;495;248;50;1;66;BURBERRY;Autunno - Inverno 2011;Ghiaccio;Donna;Carta di Credito;3;Capispalla;Abbigliamento
179;1;18/10/2010;27/10/2010;BE;Br;belgio;658,33;790;1643;3;-1;7017;790;790;395;50;1;4;FAY;Autunno - Inverno 2011;Blu scuro;Uomo;Carta di Credito;2;Capispalla;Abbigliamento
186;1;19/10/2010;20/10/2010;IT;BG;OSIO SOTTO;87,5;105;1652;3;-1;7538;125;125;63;50;1;3;BURBERRY;Autunno - Inverno 2011;Beige;Uomo;PayPal;2;Maglieria;Abbigliamento
187;1;19/10/2010;20/10/2010;IT;RN;RIMINI;104,17;125;1654;3;-1;7551;125;125;63;50;1;4;BURBERRY;Autunno - Inverno 2011;Blu notte;Uomo;Contrassegno;2;Maglieria;Abbigliamento
202;1;19/10/2010;24/10/2010;ES;BA;BARCELONA;788,33;946;883;3;-1;6330;473;473;237;50;1;68;DUVETICA;Autunno - Inverno 2011;Grigio scuro;Donna;Carta di Credito;3;Capispalla;Abbigliamento
202;1;19/10/2010;24/10/2010;ES;BA;BARCELONA;788,33;946;883;3;-1;6331;473;473;237;50;1;69;DUVETICA;Autunno - Inverno 2011;Grigio scuro;Donna;Carta di Credito;3;Capispalla;Abbigliamento
206;1;20/10/2010;24/10/2010;IT;FG;SAN GIOVANNI ROTONDO;142,5;171;648;3;-1;5829;80;160;80;50;0;254;ETRO;Autunno - Inverno 2011;Testa di moro;Uomo;PayPal;24;Cinture;Accessori
206;1;20/10/2010;24/10/2010;IT;FG;SAN GIOVANNI ROTONDO;142,5;171;648;3;-1;8281;91;130;65;50;1;5;BURBERRY;Autunno - Inverno 2011;Grigio scuro;Donna;PayPal;3;Topwear;Abbigliamento
207;1;20/10/2010;27/10/2010;IT;CA;CAGLIARI;183,33;220;1659;4;-1;3855;240;240;120;50;1;102;HOGAN;Autunno - Inverno 2011;Grigio - Blu;Uomo;Carta di Credito;10;Sneakers;Calzature
208;1;21/10/2010;27/10/2010;IT;AV;AVELLA;183,33;220;898;4;-1;3799;240;240;120;50;1;87;HOGAN;Autunno - Inverno 2011;Grigio;Donna;Carta di Credito;9;Sneakers;Calzature
209;1;22/10/2010;26/10/2010;IT;BA;BARLETTA;130;156;1634;3;-1;8318;156;260;130;50;1;77;SANTONI;Autunno - Inverno 2011;Testa di moro;Donna;Carta di Credito;9;Sneakers;Calzature
210;1;22/10/2010;27/10/2010;IT;CA;IGLESIAS;304,17;365;1547;3;-1;7445;365;365;183;50;1;4;CLUB DES SPORTS;Autunno - Inverno 2011;Blu medio;Donna;Carta di Credito;3;Capispalla;Abbigliamento
213;1;23/10/2010;27/10/2010;IT;TO;TORINO;165;198;1699;4;-1;2515;218;435;218;50;1;67;DUVETICA;Autunno - Inverno 2011;Ghiaccio;Donna;Carta di Credito;3;Capispalla;Abbigliamento
214;1;25/10/2010;29/10/2010;IT;Bo;bologna;124,17;149;1724;4;-1;2494;149;298;149;50;1;68;AERONAUTICA MILITARE;Autunno - Inverno 2011;Viola Scuro;Donna;PayPal;3;Capispalla;Abbigliamento
215;1;25/10/2010;29/10/2010;IT;VE;MUSILE DI PIAVE;979,17;1175;1725;3;-1;18371;1195;1195;598;50;1;30;BURBERRY;Autunno - Inverno 2011;Classic Check;Uomo;Carta di Credito;24;Trolley;Borse
216;1;26/10/2010;27/10/2010;IT;PT;LARCIANO;91,67;110;1736;3;-1;5662;110;110;55;50;1;5;BURBERRY;Autunno - Inverno 2011;Blu scuro;Uomo;PayPal;2;Maglieria;Abbigliamento
218;1;26/10/2010;02/11/2010;IT;CE;VILLA DI BRIANO;52,5;63;473;4;-1;8405;63;125;63;50;1;622;TOD'S;Autunno - Inverno 2011;Blu medio;Junior Boy;Carta di Credito;18;Sneakers;Calzature
219;1;26/10/2010;29/10/2010;IT;PT;AGLIANA;204,17;245;1527;4;-1;2669;245;490;245;50;0;30;HOGAN;Autunno - Inverno 2011;Tortora;Donna;PayPal;44;Shopper;Borse
222;1;27/10/2010;01/11/2010;US;;Valencia;225;270;1711;3;-1;3633;270;270;135;50;1;106;HOGAN;Autunno - Inverno 2011;Nero;Uomo;PayPal;10;Sneakers;Calzature
223;1;27/10/2010;02/11/2010;IT;LT;CASTELFORTE;216,67;260;1742;3;-1;2706;260;260;130;50;1;104;TOD'S;Autunno - Inverno 2011;Blu notte;Uomo;Bonifico Bancario;10;Polacco;Calzature
224;1;27/10/2010;04/11/2010;IT;LU;VIAREGGIO;66,67;80;1697;3;-1;4790;100;100;50;50;1;4;SUN 68;Autunno - Inverno 2011;Azzurro;Uomo;PayPal;2;Maglieria;Abbigliamento
225;1;28/10/2010;29/10/2010;IT;TA;GINOSA;275,83;331;523;4;-1;8314;156;260;130;50;1;87;SANTONI;Autunno - Inverno 2011;Grigio;Donna;PayPal;9;Sneakers;Calzature
225;1;28/10/2010;29/10/2010;IT;TA;GINOSA;275,83;331;523;4;-1;2356;175;175;175;0;0;30;BURBERRY;Autunno - Inverno 2011;Bianco - Nero;Donna;PayPal;3;Sciarpe e Foulard;Accessori
226;1;28/10/2010;03/11/2010;IT;VT;CORCHIANO;60;72;1722;3;-1;5180;92;92;46;50;1;4;AERONAUTICA MILITARE;Autunno - Inverno 2011;Panna;Uomo;PayPal;2;Maglieria;Abbigliamento
227;1;30/10/2010;05/11/2010;IT;RO;LENDINARA;161,67;194;1744;3;-1;8719;214;214;107;50;1;29;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu medio;Uomo;Contrassegno;2;Capispalla;Abbigliamento
228;1;31/10/2010;08/11/2010;IT;CA;IGLESIAS;377,5;453;1547;3;-1;6329;473;473;237;50;1;67;DUVETICA;Autunno - Inverno 2011;Grigio scuro;Donna;Carta di Credito;3;Capispalla;Abbigliamento
229;1;31/10/2010;05/11/2010;IT;CZ;CURINGA;75;90;1782;3;-1;8389;90;180;90;50;1;626;SANTONI;Autunno - Inverno 2011;Blu medio;Junior Boy;Contrassegno;18;Sneakers;Calzature
230;1;02/11/2010;05/11/2010;IT;RA;FAENZA;245,83;295;214;3;-1;7062;145;145;73;50;1;4;TOY G;Autunno - Inverno 2011;Beige;Donna;PayPal;3;Abiti;Abbigliamento
230;1;02/11/2010;05/11/2010;IT;RA;FAENZA;245,83;295;214;3;-1;3114;85;85;43;50;1;4;TOY G;Autunno - Inverno 2011;Grigio;Donna;PayPal;3;Topwear;Abbigliamento
230;1;02/11/2010;05/11/2010;IT;RA;FAENZA;245,83;295;214;3;-1;4970;65;65;33;50;1;3;FIX DESIGN;Autunno - Inverno 2011;Grigio;Donna;PayPal;3;Pantaloni;Abbigliamento
231;1;02/11/2010;05/11/2010;IT;BN;BENEVENTO;116,67;140;1817;3;-1;6682;160;160;80;50;1;30;2 MEN;Autunno - Inverno 2011;Denim chiaro;Uomo;Contrassegno;2;Jeans;Abbigliamento
232;1;02/11/2010;08/11/2010;IT;CZ;GIMIGLIANO;210;252;1219;3;-1;5155;252;252;126;50;1;29;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu notte;Uomo;Contrassegno;2;Capispalla;Abbigliamento
233;1;04/11/2010;08/11/2010;IT;BA;Bari;245,83;295;1752;4;-1;4411;295;295;148;50;1;79;PRADA SPORT;Autunno - Inverno 2011;Nero;Donna;Bonifico Bancario;9;Decolletes;Calzature
234;1;04/11/2010;09/11/2010;IT;RG;RAGUSA;87,5;105;1834;3;-1;7552;125;125;63;50;1;5;BURBERRY;Autunno - Inverno 2011;Blu notte;Uomo;Carta di Credito;2;Maglieria;Abbigliamento
235;1;05/11/2010;11/11/2010;IT;RM;ROMA;124,17;149;1813;4;-1;2860;149;149;75;50;1;4;AERONAUTICA MILITARE;Autunno - Inverno 2011;Bianco;Uomo;Carta di Credito;2;Maglieria;Abbigliamento
236;1;08/11/2010;11/11/2010;IT;ME;SANTA DOMENICA VITTORIA;219,17;263;1161;3;-1;8790;98;98;49;50;1;3;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu notte;Uomo;PayPal;2;Pantaloni;Abbigliamento
236;1;08/11/2010;11/11/2010;IT;ME;SANTA DOMENICA VITTORIA;219,17;263;1161;3;-1;7784;165;165;83;50;1;29;JAGGY;Autunno - Inverno 2011;Denim chiaro;Uomo;PayPal;2;Jeans;Abbigliamento
237;1;08/11/2010;10/11/2010;IT;RM;ROMA;225;270;1863;3;-1;9069;270;270;135;50;1;105;TOD'S;Autunno - Inverno 2011;Grigio;Uomo;PayPal;10;Sneakers;Calzature
240;1;08/11/2010;11/11/2010;IT;BZ;LAIVES;325;390;1888;4;-1;9010;390;650;325;50;1;5;FAY;Autunno - Inverno 2011;Panna;Donna;Bonifico Bancario;3;Capispalla;Abbigliamento
241;1;09/11/2010;12/11/2010;IT;AR;PERGINE VALDARNO;210,83;212;1897;3;-1;2892;159;118;59;50;1;4;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu;Uomo;Carta di Credito;2;Maglieria;Abbigliamento
241;1;09/11/2010;12/11/2010;IT;AR;PERGINE VALDARNO;210,83;212;1897;3;-1;2880;94;94;47;50;1;4;AERONAUTICA MILITARE;Autunno - Inverno 2011;Bluette;Uomo;Carta di Credito;2;Maglieria;Abbigliamento
243;1;13/11/2010;18/11/2010;ES;BA;BARCELONA;369,13;442,95;883;3;-1;6328;473;473;237;50;1;66;DUVETICA;Autunno - Inverno 2011;Grigio scuro;Donna;Carta di Credito;3;Capispalla;Abbigliamento
244;1;13/11/2010;17/11/2010;IT;TO;GRUGLIASCO;354,17;425;1965;4;-1;8722;425;425;213;50;1;72;HETREGO';Autunno - Inverno 2011;Blu medio;Donna;Bonifico Bancario;3;Capispalla;Abbigliamento
245;1;14/11/2010;17/11/2010;IT;BG;SERIATE;80,83;97;990;4;-1;8427;97;193;97;50;1;624;ASPESI;Autunno - Inverno 2011;Celeste;Junior Girl;Carta di Credito;18;Capispalla;Abbigliamento
247;1;16/11/2010;23/11/2010;IT;RG;RAGUSA;200;240;1834;3;-1;5634;240;240;120;50;1;103;HOGAN;Autunno - Inverno 2011;Marrone - Castoro;Uomo;Contrassegno;10;Sneakers;Calzature
248;1;16/11/2010;23/11/2010;IT;GE;GENOVA;58,33;70;1996;3;-1;5216;70;70;35;50;1;6;SUN 68;Autunno - Inverno 2011;Grigio medio;Uomo;Contrassegno;2;Maglieria;Abbigliamento
252;1;15/11/2010;16/11/2010;IT;CA;Cagliari;120,83;146;1969;4;-1;6384;145;145;73;50;1;623;HOGAN;Autunno - Inverno 2011;Grigio medio;Junior Boy;Contrassegno;18;Sneakers;Calzature
253;1;17/11/2010;19/11/2010;IT;CZ;GIMIGLIANO;78,33;94;1219;3;-1;2884;94;94;47;50;1;4;AERONAUTICA MILITARE;Autunno - Inverno 2011;Blu scuro;Uomo;Contrassegno;2;Maglieria;Abbigliamento
254;1;17/11/2010;19/11/2010;IT;PI;PISA;212,5;255;1976;3;-1;5721;275;275;138;50;1;6;BURBERRY;Autunno - Inverno 2011;Blu scuro;Uomo;Carta di Credito;2;Maglieria;Abbigliamento
255;1;18/11/2010;19/11/2010;IT;IS;ISERNIA;200;240;2024;3;-1;8577;240;240;120;50;1;101;HOGAN;Autunno - Inverno 2011;Blu - Marrone;Uomo;Contrassegno;10;Sneakers;Calzature
257;1;18/11/2010;23/11/2010;AF;TR;PONZANO VENETO;100;120;1105;3;-1;5242;120;120;60;50;1;5;SUN 68;Autunno - Inverno 2011;Grigio scuro;Uomo;PayPal;2;Maglieria;Abbigliamento
258;1;22/11/2010;24/11/2010;IT;MI;BIASSONO;135;162;2069;4;-1;4923;162;323;162;50;1;615;ASPESI;Autunno - Inverno 2011;Grigio;Kids Boy;PayPal;16;Capispalla;Abbigliamento
259;1;22/11/2010;24/11/2010;IT;TA;TARANTO;225;270;2066;4;-1;4406;290;290;145;50;1;83;HOGAN;Autunno - Inverno 2011;Grigio medio;Donna;Carta di Credito;9;Stivaletti;Calzature
260;1;22/11/2010;24/11/2010;IT;AV;AVELLA;202,5;243;898;4;-1;3881;138;275;138;50;1;624;HISTORIC RESEARCH;Autunno - Inverno 2011;Avio;Junior Girl;Carta di Credito;18;Capispalla;Abbigliamento
260;1;22/11/2010;24/11/2010;IT;AV;AVELLA;202,5;243;898;4;-1;8272;105;150;75;50;1;4;BURBERRY;Autunno - Inverno 2011;Rosso;Donna;Carta di Credito;3;Topwear;Abbigliamento
263;1;23/11/2010;26/11/2010;RU;Mo;Moscow;333,33;400;2091;4;-1;4944;400;400;200;50;1;30;ETRO;Autunno - Inverno 2011;Etro cashmere-Camel;Donna;Carta di Credito;45;Bauletti;Borse
265;1;23/11/2010;26/11/2010;IT;RG;RAGUSA;114,17;137;1838;3;-1;2527;137;273;137;50;1;31;ROY ROGERS;Autunno - Inverno 2011;Nero;Uomo;Carta di Credito;2;Capispalla;Abbigliamento
267;1;23/11/2010;25/11/2010;IT;PT;AGLIANA;270,83;325;1527;4;-1;2754;325;650;325;50;0;30;FAY;Autunno - Inverno 2011;Verde muschio;Donna;PayPal;44;Shopper;Borse
268;1;23/11/2010;26/11/2010;IT;SI;ABBADIA SAN SALVATORE;114,17;137;2108;3;-1;2523;137;273;137;50;1;29;ROY ROGERS;Autunno - Inverno 2011;Viola Scuro;Uomo;Carta di Credito;2;Capispalla;Abbigliamento
269;1;24/11/2010;26/11/2010;IT;BA;GRAVINA IN PUGLIA;229,17;275;2112;3;-1;18366;295;300;150;50;1;30;ETRO;Autunno - Inverno 2011;Etro cashmere-Camel;Uomo;PayPal;41;Tracolla;Borse
273;1;24/11/2010;06/12/2010;KR;Se;Seoul;191,67;230;2124;3;-1;5488;250;250;125;50;1;3;ASPESI;Autunno - Inverno 2011;Blu medio;Uomo;Carta di Credito;2;Capispalla;Abbigliamento
274;1;25/11/2010;26/11/2010;IT;CS;RENDE;50;60;2120;4;-1;8408;60;120;60;50;1;609;TOD'S;Autunno - Inverno 2011;Beige;Baby Boy;Carta di Credito;17;Sneakers;Calzature
275;1;25/11/2010;29/11/2010;IT;FR;FROSINONE;112,5;135;2140;3;-1;4861;135;270;135;50;1;3;FAY;Autunno - Inverno 2011;Blu scuro;Uomo;PayPal;2;Maglieria;Abbigliamento
277;1;27/11/2010;02/12/2010;IT;SS;SASSARI;52,5;63;1325;3;-1;8399;63;125;63;50;1;619;TOD'S;Autunno - Inverno 2011;Testa di moro;Kids Boy;PayPal;16;Sneakers;Calzature
278;1;28/11/2010;30/11/2010;IT;FG;SAN GIOVANNI ROTONDO;102,5;123;2200;3;-1;3014;123;175;88;50;1;85;D'ACQUASPARTA;Autunno - Inverno 2011;Blu - Bianco;Donna;PayPal;9;Sneakers;Calzature
279;1;29/11/2010;30/11/2010;IT;RM;AFFILE;198,33;238;1884;4;-1;9024;238;475;238;50;1;615;FAY;Autunno - Inverno 2011;Panna;Kids Girl;Contrassegno;16;Capispalla;Abbigliamento
